Timestamp,UE ID,Status,Cell ID,Downlink bitrate,Uplink bitrate,PUCCH SNR,Downlink MCS,Uplink MCS
2022-05-05 13:53:53,1,Active,1,77.784,61.784,24.7,28,24.7
2022-05-05 13:54:03,1,Active,1,12.204,50.277,24.5,28,20.8
2022-05-05 13:54:13,1,Active,1,42.886,55.08,26.9,27.9,22.5
2022-05-05 13:54:23,1,Active,1,34.351,51.244,23.3,28,26.3
2022-05-05 13:54:33,1,Active,1,47.737,53.746,21,27.9,22.7
2022-05-05 13:54:43,1,Active,1,4.548,3.532,21.1,27.5,22
2022-05-05 13:54:53,1,Active,1,2.164,0.0,25.1,28,nan
2022-05-05 13:55:03,1,Active,1,22.503,17.262,26.4,28,25.9
2022-05-05 13:55:13,1,Active,1,9.644,5.33,22.8,27.8,24.3
2022-05-05 13:55:23,1,Active,1,3.705,0.0,22.8,28,nan
2022-05-05 13:55:33,1,Active,1,12.534,7.1,28.9,28,20.4
2022-05-05 13:55:43,1,Active,1,11.893,7.217,21.2,27.9,23.4
2022-05-05 13:55:53,1,Active,1,0.0,0.0,26.2,nan,nan
2022-05-05 13:56:03,1,Active,1,0.0,0.0,27.2,nan,nan
2022-05-05 13:56:14,1,Active,1,0.0,0.0,25.8,nan,nan
2022-05-05 13:56:24,1,Active,1,0.0,0.0,25.3,nan,nan
2022-05-05 13:56:34,1,Active,1,10.509,0.0,20.5,28,nan
2022-05-05 13:56:44,1,Active,1,7.843,0.0,19.1,28,nan
2022-05-05 13:56:54,1,Active,1,6.842,0.0,19.9,28,nan
2022-05-05 13:57:04,1,Active,1,76.072,104.61,18.7,28,24.4
2022-05-05 13:57:14,1,Active,1,4.843,0.0,18.2,28,nan
2022-05-05 13:57:24,1,Active,1,26.14,8.345,23.2,28,25
2022-05-05 13:57:34,1,Active,1,3.856,0.0,27.9,28,nan
2022-05-05 13:57:44,1,Active,1,42.225,15.523,20.2,28,20.7
2022-05-05 13:57:54,1,Active,1,41.971,58.501,28.6,28,24.2
2022-05-05 13:58:04,1,Active,1,39.771,54.22,26.2,28,24.6
2022-05-05 13:58:14,1,Active,1,2.796,2.462,21.1,28,19
2022-05-05 13:58:24,1,Active,1,5.272,39.265,24.8,28,20
2022-05-05 13:58:34,1,Active,1,4.894,2.447,21.1,28,26
2022-05-05 13:58:44,1,Active,1,2.333,0.0,24.2,28,nan
